Title,Years Exp.,Months Exp.,State,Main Source Of Income?,Employment Status,Marginalized,2018 net income,2019 Salary,Expected 2019 Net Income,Rate - Per hour,Rate - Cent per word,Issues,Miscategorized,Do you believe the game industry should unionize?,Should game writers work with a pre-existing labor organization?,,
"Game Writer (Digital), Narrative Designer",5,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$90,000","$90,000","90,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Narrative Designer",3,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,"72,000",,"93,000",45,,"Crunch (working over 40 hours a week), Your work was not credited",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Narrative Designer, Editor",15-20 ,,Texas (TX),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,"75,000",,"50,000",$55,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments",No,Yes,Yes,,
Game Writer (Digital),10-15,,I wish not to answer.,No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,"$20,000",,"$35,000",$70,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of remote jobs, Lack of mentorship/training, Your work was not credited",No,Yes,Yes,,
"Narrative Designer, Intern",,1 - 6,Washington (WA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,0,,"15,000",$25,,"Crunch (working over 40 hours a week), Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training",Yes,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Analog: Tabletop games,etc)",1,,Michigan (MI),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,1000,,10000,,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
Game Writer (Digital),4,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"50,000","50,000","55,000",27.5,,You have not personally experienced any major issues as a game writer,No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Narrative Director,15-20 ,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$145,000","$153,000","$153,000",,,"Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training",No,Yes,Maybe,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Narrative Designer",7,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,62000,95000,75000,$100,,"Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
Game Writer (Digital),10-15,,Washington (WA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,130000,,"$75,000",$83,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs",Yes,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Contributing/ Jr. / Associate Game Writer, Narrative Designer",10-15,,Massachusetts (MA),No,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,35 000,,25000,40,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Narrative Designer, Currently Unemployed (if so, also mark your past title)",3,,California (CA),No,Part time employee - You work around 1-30 hours a week for one studio on a permanent basis.,No,,,,,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training",No,Yes,Yes,,
"Game Writer (Analog: Tabletop games,etc)",20-25 ,,Kansas (KS),Yes,"Full time executive - You run a company/studio as a writer, narrative lead, editor, etc. (with hiring power) for 35 or more hours per week",No,"35,000",,"40,000",45,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments",No,Yes,Yes,,
"Game Writer (Digital), Narrative Designer, Quest Designer",15-20 ,,California (CA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$68,500",,"$36,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Your work was not credited",Yes,Maybe,Unsure/Don't know enough about the options to feel comfortable making a choice,Figuring out hourly rate is difficult due to different payment models. For some jobs I charge per line of dialogue. Overall I really appreciate that you're conducting the survey and its goals.,
Journalist,6,,New York (NY),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,45000,45000,45000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.), The 2019 ESA Journalist Leak",No,Yes,Maybe,,No
"Game Writer (Analog: Tabletop games,etc)",9,,California (CA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,"$15,000",,"$22,500",$17,,"Crunch (working over 40 hours a week), Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Lack of mentorship/training",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Journalist,3,,New York (NY),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$63,000","$63,000","$67,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, The 2019 ESA Journalist Leak",No,Yes,"As a journalist, I'm already part of a union and don't think I or other journalists should be in the same union as people actually working on games.","I don't think games journalists should be lumped in with people involved in making games. While the two things are linked, they are completely separate industries and should be treated as such.",
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Currently Unemployed (if so, also mark your past title)",6,,Oregon (OR),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,0,,"$30,000",$25,,"Delayed/missing payments, Lack of mentorship/training, Your work was not credited",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Analog: Tabletop games,etc), Contributing/ Jr. / Associate Game Writer, Quest Designer",4,,Georgia (GA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$1,100",,"$2,000",$10,,"Low pay, Lack of benefits/healthcare, Delayed/missing payments, Lack of mentorship/training",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Critic,15-20 ,,New York (NY),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,81000,,84000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments",Yes,Yes,Yes,"I'm happy to provide this feedback, but I also don't feel that media types who cover games belong in the same category as the people who actually work to create games, in whatever capacity. Journalists report to different masters and sometimes have goals that run counter to (or just don't line up with) those of games industry workers. That said, I personally feel very strongly about unionization in general and about finding ways to deconstruct and put an end to the unhealthy work patterns that currently exist in the industry. I'd be happy to chat further and will include my contact info below, but there's only so much I can actively do in my role as a journalist to provide direct, tangible support.",
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Contributing/ Jr. / Associate Game Writer, Narrative Designer, Journalist, Critic",2,,New York (NY),No,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,2000,,,,500,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments",Yes,Yes,Yes,,
Game Writer (Digital),10-15,,Louisiana (LA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$144,000",,"$120,000",100,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Lack of remote jobs, Lack of relocation assistance",Maybe,Yes,Yes,,No
"Game Writer (Digital), Journalist",,1 - 6,Michigan (MI),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$18,000",$21/hr,40000,,,The 2019 ESA Journalist Leak,No,Yes,No - We should form a union for all game developers,,
Game Writer (Digital),8,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,115000,187000,190000,90,,"Crunch (working over 40 hours a week), Unpaid over-time, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,Yes,We need to join the WGA and all start operating as independent contractors to these studios. ,Yes
"Journalist, Critic",,1 - 6,New York (NY),No,Solo developer - You work primarily on your own projects with no other permanent paid team,No,,,,,,"Lack of mentorship/training, Not fully hired by a publication to write criticism and or features for payment.",No,Yes,"They should work with the National Writer’s Union, as I’m a member under the group known as The Freelance Solidarity Project. It covers all media workers, not just writers.","I disagree with Journalist and Critic being used in this form due to the differing goals of both developers and media workers who cover games, as well as a plethora of unions that already cover writers who focus on games. The NWU houses the Freelance Solidarity Project, in which I am a member of. It would not only be a more appropriate place for writers and critics to be a part of, but we are also currently discussing the possibility of collaborating with the GWU as we get closer to our launch. ",
Narrative Designer,7,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,0,"73,000",50000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training, Your work was not credited",Maybe,Yes,No - We should form a union for all game developers,Thank you for listening!,
"Game Writer (Analog: Tabletop games,etc), Narrative Designer",2,,Washington (WA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,0,,$100,,,"Low pay, Your work was not credited",No,Yes,No - We should form a union for all game developers,,
Contributing/ Jr. / Associate Game Writer,5,,Washington (WA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$4,000",,1600,$35,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Lack of mentorship/training",Yes,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Narrative Designer, Currently Unemployed (if so, also mark your past title)",9,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,90000,90000,,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Your work was not credited",No,Yes,Maybe,,
"Game Writer (Analog: Tabletop games,etc)",10-15,,Washington (WA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,1000,,2000,15,7,"Low pay, Delayed/missing payments",No,Maybe,Maybe,,
Narrative Designer,6,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$85,000","$85,000","$85,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Narrative Designer",1,,Minnesota (MN),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,0,,3000,20,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs",No,Yes,Yes,,
Contributing/ Jr. / Associate Game Writer,2,,Massachusetts (MA),No,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,78000,90000,90000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Yes,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Narrative Designer,2,,Texas (TX),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$54,000","$58,000","$58,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Yes,Yes,Yes,Thank you for creating this. It often feels like we are alone and we don’t have a voice so it’s nice that there are others out there willing to stand up for us and help.,
"Game Writer (Digital), Narrative Designer, Quest Designer",6,,Texas (TX),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$66,000","$74,000","$80,000",,,"Crunch (working over 40 hours a week), Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training, Your work was not credited",No,Yes,No - We should form a union for all game developers,,
"Game Writer (Analog: Tabletop games,etc), Editor",3,,Washington (WA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$45,000",,"$2,500",30,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Lack of mentorship/training",Maybe,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Editor, Producer",3,,Texas (TX),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"35,000","40,000","40,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training, Your work was not credited",No,Yes,Yes,,"Yes, "
Game Writer (Digital),2,,I wish not to answer.,No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$1,200",,"$1,000",$20,,"Unpaid over-time, Low pay, Lack of benefits/healthcare",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Narrative Designer",2,,North Carolina (NC),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$6,000",,"$10,000",15,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Game Writer (Digital), Contributing/ Jr. / Associate Game Writer, Narrative Designer, Editor, Quest Designer",1,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"65,000","65,000","65,000",,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training",No,Yes,Maybe,,Yes
"Game Writer (Digital), Narrative Designer, Adjunct Professor",2,,New York (NY),No,Part time executive - You run a company/studio as a writer around 1-30 hours a week,Yes,0,,"$8,000",75,,"Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Your work was not credited",No,Yes,Yes,,
Game Writer (Digital),3,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,55000,85000,70833,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",No,Yes,No - We should form our own specific guild or union for U.S game writers,Thank you for doing this!! I know we can be better.,
Game Writer (Digital),4,,Colorado (CO),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,36000,72000,48000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,No - We should form a union for all game developers,,"no thanks, i’m pretty visible at my studio and would prefer to not have my answers come back on me if the survey is made public"
"Game Writer (Digital), Narrative Director",9,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,215000,164000,200000,95,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of relocation assistance, Delayed/missing payments",Yes,Yes,No - We should form a union for all game developers,The WGA ain't gonna do nothing but put us at odds with our fellow devs. Hollywood can't help us. We have to help ourselves and build a better industry than their 20th century bureaucratic monolith.,
"Game Writer (Digital), Contributing/ Jr. / Associate Game Writer, Narrative Designer, Currently Unemployed (if so, also mark your past title)",2,,New York (NY),No,Solo developer - You work primarily on your own projects with no other permanent paid team,Yes,$149,,"$6,398",,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.), Predatory bait and switch practices (being hired to write barks, then assigned to design procedural generation systems with no extra pay)",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Analog: Tabletop games,etc), Narrative Designer, Editor, Quest Designer, Currently Unemployed (if so, also mark your past title)",4,,Pennsylvania (PA),No,Part time executive - You run a company/studio as a writer around 1-30 hours a week,Yes,$0,,"$1,500",$4,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Analog: Tabletop games,etc)",1,,Pennsylvania (PA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,0,,2000,15,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",Maybe,Yes,No,,
"Game Writer (Digital), Narrative Designer",6,,California (CA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$120,000",,"$210,000",62.5,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",Yes,Yes,No - We should form a union for all game developers,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Narrative Designer, Editor, Recently laid off; currently work freelance",3,,Washington (WA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$45,000.00",,"$25,000.00",30,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training",Yes,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Localization,15-20 ,,I wish not to answer.,Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,"$45,000",,"$45,000",$35,,"Crunch (working over 40 hours a week), Low pay, Delayed/missing payments, Your work was not credited",No,Yes,Yes,Is this for the US only?,
Editor,6,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,0,"65,000","50,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Yes,Yes,No - We should form our own specific guild or union for U.S game writers,,
Game Writer (Digital),6,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"92,000","105,000","105,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Frequent job instability (due to lay-offs, contract status, etc.)",Maybe,Yes,No - We should form a union for all game developers,,
Localization,3,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,"$18,265","$1,650","$18,265",$10,,"Low pay, Lack of benefits/healthcare",No,Maybe,Yes,Nice thing,Nah
"Game Writer (Digital), Narrative Designer, Journalist, Currently Unemployed (if so, also mark your past title)",3,,California (CA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,$600,,,,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Game Writer (Digital), Narrative Designer, Currently Unemployed (if so, also mark your past title)",3,,Maryland (MD),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$54,000","$52,500","56,500",,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of remote jobs, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,Maybe,,
"Game Writer (Digital), Narrative Designer",4,,Maryland (MD),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"40,000","70,000","70,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training",Yes,Yes,No - We should form a union for all game developers,,
"Game Writer (Digital), Narrative Designer, Currently Unemployed (if so, also mark your past title)",1,,Washington (WA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,0,,"$22,405",28,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Yes,Yes,Maybe,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Critic",25+ ,,New York (NY),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"10,000",,1000,50,,"Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Your work was not credited",No,Yes,No - We should form a union for all game developers,"Like many game writers and narrative designers, my work overlaps heavily with other types of game design that don't centrally involve writing, and to some extent with other game development functions as well. In my experience it's only in very large (50 person+) teams where some team members focus exclusively on writing (even narrative designers are not solely doing writing, though they could be classified as such) so I'm more in favor of a union structure that acknowledges how blurred the job categories are in game development.",No
"Journalist, Critic",3,,Illinois (IL),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$6,000",,"$12,000",,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Lack of mentorship/training",No,Yes,Maybe,,Yes
Narrative Designer,5,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$50,000","$130,000","$40,000",$60,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Lack of remote jobs, Delayed/missing payments, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Maybe,Yes,Maybe,,
"Game Writer (Digital), Narrative Designer",10-15,,California (CA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"30,000",,"30,000",110,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training",No,Yes,Yes,,
Game Writer (Digital),2,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$52,500",,"$55,000",50,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Maybe,Yes,No - We should form our own specific guild or union for U.S game writers,,
Journalist,4,,New York (NY),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,58500,62000,62000,,,"Lack of mentorship/training, The 2019 ESA Journalist Leak, No visible party for promotion",No,Yes,"Yes but I am already part of a news union. People who report on games and people who write for games have different needs and should be represented individually, but I believe all workers should be unionized in the industry.",I don't know why we are putting critics/journalists in the same group as people who work on games. These are very different things. But I support organizing across the board.,
Intern,1,,District of Columbia (DC),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,"10,000","10,000","10,000",,,"Unpaid over-time, Low pay, Lack of benefits/healthcare",Maybe,Yes,Yes,positive if it does some good,
"Game Writer (Digital), Narrative Designer, Editor, Journalist",,1-6,Georgia (GA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,0,,,20,,You have not personally experienced any major issues as a game writer,No,Maybe,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Game Writer (Digital),3,,Pennsylvania (PA),No,Solo developer - You work primarily on your own projects with no other permanent paid team,No,$600,$600,$600,,,"Low pay, Lack of benefits/healthcare, Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Game Writer (Digital),4,,Texas (TX),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,8000,,8000,30,,You have not personally experienced any major issues as a game writer,No,Yes,Maybe,,
"Game Writer (Analog: Tabletop games,etc)",4,,California (CA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,4200,3900,4000,15,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Your work was not credited, 2019 Game Informer Layoffs",Yes,No,No,I'm happy that such a survey is done,
"Game Writer (Digital), Narrative Designer",15-20 ,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,100000,100000,100000,50,,"Lack of benefits/healthcare, Lack of remote jobs",Yes,Yes,No - We should form a union for all game developers,,
Editor,9,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,0,"$93,000",,,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of mentorship/training, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
Editor,6,,Washington (WA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,70000,,60000,75,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",Maybe,Yes,Maybe,"There was a lot going on in that last question. If game devs organized together, what would that look like, and would that union work with larger unions, tech workers, etc.?",
Game Writer (Digital),10-15,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,100000,120000,120000,85,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare, Delayed/missing payments, Lack of mentorship/training",No,Maybe,Maybe,,
"Game Writer (Digital), Contributing/ Jr. / Associate Game Writer, Editor, Critic",7,,I wish not to answer.,No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,0,,20000,,,"Low pay, Lack of benefits/healthcare, Your work was not credited",Maybe,No,No,,No
